DYNAMIXEL Graph,3
ItemCount,3
-1,311,MX-64(2.0),Realtime Tick,#000000,0
-1,311,MX-64(2.0),Present Position,#ffff00,0
-1,311,MX-64(2.0),Present Velocity,#ff0000,0
Time[ms],Realtime Tick,Present Position,Present Velocity
11768,26697,489,-254
11788,26717,430,-259
11808,26737,410,-189
11828,26757,404,-98
11848,26777,404,-40
11868,26797,403,-13
11888,26817,404,-4
11908,26837,404,-1
11928,26857,405,0
11948,26877,407,2
11968,26897,408,4
11988,26917,409,4
12008,26937,410,2
12028,26957,474,42
12048,26977,535,145
12068,26997,561,161
12088,27017,570,101
12108,27037,581,49
12128,27057,654,78
12148,27077,743,187
12168,27097,833,253
12188,27117,898,265
12209,27138,927,203
12228,27157,962,134
12249,27178,984,107
12268,27197,991,75
12288,27217,994,38
12308,27237,994,15
12328,27257,995,5
12348,27277,994,1
12368,27297,994,0
12388,27317,994,0
12409,27338,994,0
12429,27358,994,0
12449,27378,994,0
12469,27398,995,0
12489,27418,994,0
12509,27438,993,0
12529,27458,966,-19
12549,27478,946,-58
12569,27498,938,-56
12589,27518,936,-32
12609,27538,926,-14
12629,27558,852,-69
12649,27578,764,-188
12669,27598,672,-255
12689,27618,581,-281
12709,27638,490,-288
12729,27658,404,-289
12749,27678,355,-256
12768,27697,340,-173
12788,27717,336,-85
12809,27738,335,-31
12829,27758,322,-20
12849,27778,314,-29
12868,27797,310,-25
12889,27818,310,-13
12909,27838,308,-4
12929,27858,295,-13
12948,27877,288,-28
12968,27897,285,-25
12988,27917,284,-12
13009,27938,292,-2
13029,27958,366,62
13049,27978,430,171
13069,27998,458,173
13089,28018,468,106
13109,28038,473,50
13129,28058,540,67
13149,28078,627,174
13169,28098,718,250
13189,28118,781,261
13209,28138,808,198
13229,28158,832,122
13249,28178,844,83
13269,28198,849,48
13289,28218,849,22
13309,28238,849,7
13328,28257,849,2
13349,28278,849,0
13369,28298,849,0
13389,28318,849,0
13409,28338,849,0
13429,28358,849,0
13448,28377,849,0
13469,28398,849,0
13489,28418,849,0
13508,28437,847,0
13529,28458,816,-26
13549,28478,795,-65
13569,28498,786,-60
13589,28518,783,-34
13609,28538,774,-16
13629,28558,700,-69
13649,28578,611,-188
13669,28598,530,-252
13689,28618,491,-230
13708,28637,478,-149
13729,28658,457,-81
13749,28678,444,-63
13769,28698,440,-43
13789,28718,439,-21
13809,28738,439,-7
13829,28758,439,-2
13849,28778,439,0
13868,28797,439,0
13889,28818,439,0
13909,28838,445,0
13929,28858,498,48
13948,28877,530,111
13969,28898,544,98
13988,28917,548,56
14009,28938,549,23
14029,28958,611,47
14049,28978,697,160
14069,28998,786,243
14089,29018,843,251
14109,29038,866,183
14129,29058,896,116
14149,29078,912,91
14169,29098,918,58
14189,29118,919,28
14209,29138,920,10
14229,29158,927,10
14249,29178,932,16
14269,29198,934,14
14289,29218,934,7
14309,29238,934,2
14328,29257,934,0
14349,29278,934,0
14369,29298,933,0
14389,29318,934,0
14408,29337,931,0
14429,29358,855,-58
14449,29378,767,-182
14469,29398,675,-253
14489,29418,585,-280
14509,29438,517,-272
14529,29458,437,-246
14549,29478,391,-228
14569,29498,374,-157
14589,29518,369,-80
14609,29538,369,-33
14629,29558,368,-10
14649,29578,368,-3
14669,29598,368,0
14689,29618,368,0
14708,29637,369,0
14729,29658,368,0
14749,29678,368,0
14769,29698,369,0
14789,29718,369,0
14809,29738,376,0
14829,29758,448,60
14849,29778,537,182
14869,29798,627,252
14889,29818,696,267
14909,29838,729,212
14929,29858,801,165
14949,29878,887,214
14969,29898,943,239
14989,29918,965,179
15009,29938,972,95
15029,29958,979,45
15049,29978,982,27
15069,29998,984,15
15089,30018,984,6
15109,30038,984,2
15129,30058,984,0
15149,30078,984,0
15168,30097,984,0
15189,30118,984,0
15208,30137,984,0
15228,30157,932,-32
15248,30177,887,-114
15269,30198,868,-119
15288,30217,862,-73
15308,30237,861,-33
15328,30257,797,-51
15348,30277,710,-161
15368,30297,619,-244
15388,30317,530,-277
15408,30337,468,-267
15428,30357,425,-213
15449,30378,406,-143
15468,30397,399,-81
15488,30417,398,-37
15508,30437,397,-13
15528,30457,398,-3
15548,30477,397,-1
15568,30497,398,0
15588,30517,398,0
15609,30538,398,0
15628,30557,398,0
15648,30577,398,0
15668,30597,397,0
15688,30617,398,0
15708,30637,405,0
15728,30657,479,57
15749,30678,568,185
15768,30697,658,252
15788,30717,734,273
15808,30737,770,230
15828,30757,806,155
15848,30777,829,118
15868,30797,838,80
15888,30817,840,41
15908,30837,840,16
15928,30857,840,5
15948,30877,840,1
15968,30897,840,0
15988,30917,840,0
16008,30937,841,0
16028,30957,846,4
16048,30977,850,11
16068,30997,851,10
16088,31017,851,5
16108,31037,851,1
16128,31057,824,-16
16148,31077,795,-64
16168,31097,782,-72
16188,31117,779,-46
16208,31137,769,-22
16228,31157,695,-69
16248,31177,605,-187
16268,31197,515,-255
16288,31217,424,-280
16308,31237,356,-276
16328,31257,324,-217
16348,31277,312,-128
16368,31297,309,-61
16388,31317,308,-24
16408,31337,309,-7
16428,31357,308,-2
16448,31377,308,0
16468,31397,308,0
